Season,DateTime,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
2013-14,2014-03-08T00:00:00Z,Chelsea,Tottenham,4,0,H,0.0,0.0,D,M Oliver,12.0,6.0,4.0,2.0,5.0,4.0,11.0,18.0,2.0,3.0,0.0,1.0
2013-14,2014-03-08T00:00:00Z,Crystal Palace,Southampton,0,1,A,0.0,1.0,A,H Webb,6.0,11.0,1.0,3.0,8.0,3.0,14.0,18.0,1.0,5.0,0.0,0.0
2013-14,2014-03-08T00:00:00Z,Norwich,Stoke,1,1,D,0.0,0.0,D,A Marriner,13.0,6.0,5.0,3.0,3.0,1.0,9.0,12.0,0.0,2.0,0.0,1.0
2013-14,2014-03-08T00:00:00Z,West Brom,Man United,0,3,A,0.0,1.0,A,J Moss,14.0,14.0,3.0,5.0,3.0,5.0,11.0,10.0,1.0,2.0,0.0,0.0
2013-14,2014-03-15T00:00:00Z,Aston Villa,Chelsea,1,0,H,0.0,0.0,D,C Foy,13.0,15.0,4.0,2.0,4.0,5.0,14.0,8.0,4.0,0.0,0.0,2.0
2013-14,2014-03-15T00:00:00Z,Everton,Cardiff,2,1,H,0.0,0.0,D,R East,19.0,10.0,6.0,3.0,10.0,5.0,10.0,10.0,1.0,3.0,0.0,0.0
2013-14,2014-03-15T00:00:00Z,Fulham,Newcastle,1,0,H,0.0,0.0,D,H Webb,12.0,12.0,3.0,3.0,9.0,7.0,11.0,6.0,1.0,0.0,0.0,0.0
2013-14,2014-03-15T00:00:00Z,Hull,Man City,0,2,A,0.0,1.0,A,L Mason,15.0,8.0,5.0,3.0,3.0,4.0,9.0,14.0,2.0,2.0,0.0,1.0
2013-14,2014-03-15T00:00:00Z,Southampton,Norwich,4,2,H,1.0,0.0,H,K Friend,16.0,6.0,6.0,3.0,6.0,1.0,11.0,17.0,1.0,2.0,0.0,0.0
2013-14,2014-03-15T00:00:00Z,Stoke,West Ham,3,1,H,1.0,1.0,D,C Pawson,17.0,8.0,9.0,2.0,6.0,4.0,13.0,13.0,1.0,1.0,0.0,0.0
2013-14,2014-03-15T00:00:00Z,Sunderland,Crystal Palace,0,0,D,0.0,0.0,D,N Swarbrick,19.0,12.0,2.0,5.0,6.0,2.0,16.0,14.0,4.0,4.0,0.0,0.0
2013-14,2014-03-15T00:00:00Z,Swansea,West Brom,1,2,A,1.0,0.0,H,M Atkinson,15.0,13.0,4.0,4.0,4.0,1.0,7.0,13.0,1.0,3.0,0.0,0.0
2013-14,2014-03-16T00:00:00Z,Man United,Liverpool,0,3,A,0.0,1.0,A,M Clattenburg,13.0,17.0,1.0,7.0,3.0,4.0,13.0,12.0,1.0,4.0,1.0,0.0
2013-14,2014-03-16T00:00:00Z,Tottenham,Arsenal,0,1,A,0.0,1.0,A,M Dean,17.0,7.0,2.0,3.0,5.0,2.0,18.0,11.0,5.0,3.0,0.0,0.0
2013-14,2014-03-22T00:00:00Z,Cardiff,Liverpool,3,6,A,2.0,2.0,D,N Swarbrick,9.0,19.0,3.0,9.0,4.0,6.0,14.0,11.0,2.0,3.0,0.0,0.0
2013-14,2014-03-22T00:00:00Z,Chelsea,Arsenal,6,0,H,4.0,0.0,H,A Marriner,21.0,12.0,11.0,5.0,7.0,1.0,14.0,8.0,0.0,1.0,0.0,1.0
2013-14,2014-03-22T00:00:00Z,Everton,Swansea,3,2,H,1.0,1.0,D,M Oliver,9.0,21.0,6.0,7.0,5.0,12.0,9.0,6.0,0.0,0.0,0.0,0.0
2013-14,2014-03-22T00:00:00Z,Hull,West Brom,2,0,H,2.0,0.0,H,C Foy,12.0,17.0,5.0,4.0,4.0,5.0,18.0,13.0,2.0,0.0,0.0,0.0
2013-14,2014-03-22T00:00:00Z,Man City,Fulham,5,0,H,1.0,0.0,H,J Moss,22.0,6.0,12.0,0.0,13.0,2.0,8.0,15.0,0.0,3.0,0.0,1.0
